OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
105,Soldier's Monument,City of Boston,A97,1,Jamaica Plain,0.13269948, ,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,L, ,BPRD,PARK_Maintenance_Region 3,341,
106,English H.S. Athletic Fields,City of Boston, ,3,Jamaica Plain,7.63387255,144 McBride Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,BPS,PARK_Maintenance_Region 3,107,
107,Johnson Park II,MBTA,A97,3,Jamaica Plain,0.17064967, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,DCR,X,X, , ,INFO_Reallocation From Dept,2013,
108,Johnson Park I,Commonwealth of Massachusetts,A97,3,Jamaica Plain,2.60107852, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3025,
109,Mahoney Square,City of Boston,A97,1,Jamaica Plain,0.0602203,Intersection of Day and Centre St.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Hyde Sq., Centre Square",BPRD,PARK_Maintenance_Region 3,185,
110,Back of the Hill Urban Wild,City of Boston,A97/LWCF/USH,6,Mission Hill,3.71652063, ,Open Space District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1005,
111,Thetford/Evans Playground,City of Boston,A97,3,Dorchester,0.68323955,Corner of Thetford & Evans Sts,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,302,
112,Woodhaven,City of Boston,A97,6,Mattapan,1.22255816, ,Residential District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1006,
113,Gladeside I,City of Boston,A97/WPA,6,Mattapan,10.29017524, ,Open Space District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1007,
114,Willowwood Rock,City of Boston,A97,6,Dorchester,0.55885711, ,Open Space District,Urban Wilds,BCC,BPRD,X,X, , ,PARK_Maintenance_Ground Maintenance,1008,
